dataset,method,faith,mono,stab,compl,time,ricci
Pima Diabetes,GEMEX,-0.2298,0.3833,0.1787,0.2559,0.9448,1.4252
Pima Diabetes,SHAP,-0.2631,0.2833,0.8812,2.7242,0.0018,0.0
Pima Diabetes,LIME,-0.3771,0.3792,0.1253,0.2625,0.0064,0.0
Pima Diabetes,ELI5,-0.2945,0.3542,0.0406,0.2938,0.001,0.0
Heart Disease,GEMEX,-0.6101,0.1308,0.1542,0.464,1.2586,0.5248
Heart Disease,SHAP,-0.4135,0.1051,1.0681,5.7359,0.0029,0.0
Heart Disease,LIME,-0.5782,0.1487,0.0708,0.3291,0.0103,0.0
Heart Disease,ELI5,-0.5368,0.1359,0.0339,0.3739,0.001,0.0
Breast Cancer,GEMEX,-0.4654,0.2933,0.3277,1.4612,2.0349,1.5473
Breast Cancer,SHAP,-0.2337,0.1433,2.3217,7.1032,0.0028,0.0
Breast Cancer,LIME,-0.1939,0.1733,0.1649,0.2594,0.0115,0.0
Breast Cancer,ELI5,-0.0592,0.2467,0.0615,0.711,0.001,0.0
